Event,Placeholders,Value,Parameters,Description
%@ all,state,,{ state: string },When the user expands or collapses all parent-case groups at once.
%@ background image from axes,"isLocked ? ""unlocked"" : ""locked""",,,User locks or unlocks the background image to the graph axes.
%@ case %@,"state, parentCaseId",,"{ state: string, parentCaseId: string }",When the user expands or collapses a single parent-case group.
%@ connecting lines,action,,{action: string},User shows or hides connecting lines on a scatter plot.
%@ ICI,action,,{action: string},User shows or hides the box plot informal confidence interval.
%@ line intercept,action,,{action: string},User locks or unlocks the line intercept on a scatter plot.
%@ measure labels,action,,{action: string},User shows or hides measure labels from the graph measures menu.
%@ outliers,action,,{action: string},User shows or hides box plot outliers.
%@ squares of residuals,action,,{action: string},User shows or hides squares of residuals on a scatter plot.
<plugin-defined>,"positional replaceArgs (0, 1, ...)",,{ [index: string]: string|number|boolean },Arbitrary event emitted by an embedded plugin/iframe via the data-interactive logMessage API; event name and parameters are plugin-defined.
Add Plugin: %@,"name, url",,"{ name: string, url: string }",User adds a plugin by choosing it from the plugins menu.
Add toggle component: %@,lifecycleName,,,Showed a singleton toggle component (e.g. calculator) from the tool shelf
Added %@,adornmentType / type,,{adornmentType: string},User adds the box plot adornment via its checkbox.
added background image,,,,User adds a background image to the graph.
Added movable value,,,,User clicks Add in the movable value adornment controls.
Attribute assigned: %@,"{attribute, axis}",,"{attribute: string, axis: string}",User assigns an attribute to a graph axis by drag-and-drop.
Attribute removed: %@,"{attribute, axis}",,"{attribute: string, axis: string}",User removes an attribute from a graph axis by drag-and-drop.
attributeCreate: %@,"{ name, collection, formula }",,"{ name: string, collection: string, formula: string }",User adds a new attribute to a collection from the ruler (data set) menu.
"Axis domain change: lower: %@, upper: %@","lower, upper",,"{ lower: number, upper: number }",When the user finishes dragging or dilating a numeric axis to change its bounds.
"Axis zoom: lower: %@, upper: %@","lower, upper",,"{ lower: number, upper: number }",When the user option-clicks (or shift-option-clicks) a numeric axis to zoom it in or out.
Calculation done: %@ = %@,"calcValue, solution",,"{ calcValue: string, solution: string }",When the user successfully evaluates an expression in the calculator.
Calculation error: %@ = %@,"calcValue, error",,"{ calcValue: string, error: string }",When the user evaluates a calculator expression that produces an error.
Calculator value cleared,,,,User clears the calculator display (C button or Escape key).
change %@ from %@ to %@,"changedProperty, fromValue, toValue",,"{changedProperty: string, fromValue: number, toValue: number}",User changes the bin width or alignment by leaving the input field.
Change bar chart to computed by pre-existing formula,,,,Switched a bar chart's bar lengths to be computed by an already-existing formula attribute
Change case card column width for collection '%@' to '%@'%,"collection, width",,"{ collection: string, width: number }",When the user finishes resizing a column in the case card.
Change collection name from %@ to %@,"nameInitial, name",,{ name: string },User renames a collection by editing its title.
Change computed bar length function: %@,"{from, to}",,"{from: string, to: string}",User edits the bar chart's computed bar-length formula and applies it.
Change filter formula to %@,formula,,{ formula: string },User changes the graph's hide/show filter formula.
Change plotted function: %@,"{from, to}",,"{from: string, to: string}",User edits a plotted function's formula and applies it.
Change plotted value from %@ to %@,"expression, newExpression",,"{expression: string, newExpression: string}",User edits a plotted value's formula and applies it.
Change row height,,,,User finishes dragging a row divider to change the case table row height.
Change title '%@' to '%@',"from, to",,"{ from: string, to: string }",User renames a case table or case card via its title bar.
Change web view URL: %@,url,,{ url: string },User changes the address of a web page tile using its inspector.
Changed attribute binning type,,,,User changes the legend bins (binning type) selection for a numeric legend.
Changed attribute color,,,,User changes the high-end color of a numeric legend attribute's color range.
Changed background color,,,,Logged when the user picks a new plot background color in the point format palette.
Changed categorical point color,,,,User changes the color assigned to a specific legend category.
Changed point color,,,,User changes the overall point color when the legend attribute is not categorical.
Changed point size,,,,User finishes dragging the point-size slider in the format inspector.
Changed point type,,,,User changes the map point display type (points vs heatmap) in the format inspector.
Changed stroke color,,,,User changes the point stroke color in the format inspector.
Clear formula for attribute %@,name,,{ name: string },User chooses the delete-formula menu item to remove an attribute's formula.
Close calculator,,,{ type: string },When the user closes the calculator tile using its title-bar close button.
Close component: %@,tileType,,{ tileType: string },User closes a component tile from the workspace.
Create %@ cases in table,count,,{ count: number },When the user creates one or more new cases via the case-table input row.
Create caseTable component,,,,User opens (or re-shows) the table/card for an existing dataset from the table tool-shelf menu.
"Create collection: name: %@, attribute: %@","name, attribute",,"{ name: string, attribute: string }",When the user drags an attribute in the case card to create a new collection.
Create component: %@,tileType,,{ tileType: string },"User creates a new component (graph, table, map, etc.) from the tool shelf."
Create New Empty DataSet,,,,"User chooses ""New"" in the table tool-shelf menu to create a new empty dataset and case table."
Delete %@ cases,numCases,,{ numCases: number },User deletes one or more cases from the data.
Delete all cases,,,,Logged when a plugin requests deletion of all cases in a data context via the data interactive API (allCases delete).
Delete attribute %@,name,,{ name: string },User chooses the delete-attribute menu item to remove an attribute from the data.
Delete dataset: %@,"{ id, name }",,"{ id: string, name: string }",When the user confirms deleting a dataset in the delete-dataset dialog.
Disable Measures For Selection,,,,"User disables ""Show Measures for Selection"" from the graph's hide/show menu."
Disable Number Toggle,,,,User turns off the parent-case number toggle from the graph's hide/show menu.
Disable only showing last parent toggle,,,,"User unchecks the ""last"" checkbox in the parent-toggles bar to stop showing only the last parent case."
Display only selected cases,,,,"Logged when the user chooses ""Display Only Selected Cases"" from the graph's hide/show (View) menu."
"dragBinBoundary from { alignment: %@, width: %@ } to { alignment: %@, width: %@ }","alignmentInitial, widthInitial, alignment, width",,"{alignment: number, width: number}",User drags a bin boundary to change the bin width and alignment.
dragMovableLine: '%@',equation,,{ equation: string },User finishes dragging (translating) the movable line to a new position.
Edit attribute formula: %@,"{ name, collection, formula }",,"{ name: string, collection: string, formula: string }",User applies a formula to an attribute in the edit-formula dialog.
Edit attribute: %@,name,,{ name: string },"User applies changes in the edit-attribute-properties dialog (name, description, unit, type, precision, or editability)."
Edited text component,,,{ text: string },"User edits the content of a text component and clicks away, committing the change."
