Sample,YesNo,WinLose,Height,Weight,Width,Eyes,NumCat
numerical,categorical,categorical,numerical,numerical,numerical,categorical,categorical
1,yes,win,14,148,11,blue,3
2,yes,lose,193,114,20,brown,2
3,no,win,176,218,30,green,5
4,no,lose,30,148,43,blue,5
5,maybe,win,110,112,9,blue,4
6,yes,lose,198,61,2,brown,2
7,no,win,211,99,10,hazel,3
8,maybe,lose,116,75,38,green,2
9,no,tie,51,218,8,violet,1
10,maybe,tie,76,126,14,hazel,5
11,maybe,tie,105,57,43,brown,2
12,no,tie,112,9,8,brown,4
13,no,tie,168,137,47,brown,4
14,no,win,14,132,32,hazel,1
15,no,win,108,167,23,green,2
16,no,win,1,163,38,violet,4
17,yes,win,72,138,45,hazel,2
18,yes,lose,58,62,33,brown,1
19,,lose,27,89,19,brown,3
20,yes,lose,158,89,32,brown,2
