# name: NOAA-Weather
# source: https://www.ncei.noaa.gov/access/services/data/v1
# import date: 12/13/2023&comma; 4:17:52 PM
# description: Historical weather data fetched from NOAA. Note that the attribute "utc" has been hidden.
# attribute -- name: where, description: weather station, type: categorical, editable: true
# attribute -- name: latitude, description: Latitude of weather station, type: numeric, unit: º, editable: true
# attribute -- name: longitude, description: Longitude of weather station, type: numeric, unit: º, editable: true
# attribute -- name: elevation, description: Elevation of weather station, type: numeric, unit: ft, precision: 0, editable: true
# attribute -- name: when, description: When the observation occurred in weather station's standard time, type: date, editable: true
# attribute -- name: tMax, description: Maximum temperature, unit: °F, editable: true
# attribute -- name: tMin, description: Minimum temperature, unit: °F, editable: true
# attribute -- name: tAvg, description: Average temperature, unit: °F, editable: true
# attribute -- name: precip, description: Precipitation, unit: in, editable: true
where,latitude,longitude,elevation,when,tMax,tMin,tAvg,precip
NRN AROOSTOOK REGIONAL APT,47.286,-68.313,987.8609240000001,2013-12,16.88,4.459999999999997,10.579999999999998,1.0196850393700787
CARIBOU MUNICIPAL AIRPORT,46.871,-68.017,624.015768,2013-12,20.12,5.899999999999999,12.920000000000002,3.5905511811023625
INTERNATIONAL AIRPORT,46.119,-67.793,476.04988399999996,2013-12,23.36,5.899999999999999,14.719999999999999,2.362204724409449
MILLINOCKET MUNICIPAL ARPT,45.648,-68.693,406.16799199999997,2013-12,24.98,10.399999999999999,17.6,2.2440944881889764
"GREENVILLE 0.7 SE, ME US",45.4578617960215,-69.5841179788113,1174.868804,2014-03,,,,4.637795275590551
EASTPORT,44.9,-66.98,32.8084,2014-04,,,,4.641732283464568
OLD TOWN 2 W,44.928,-68.701,126.96850800000001,2013-12,26.42,9.32,17.78,4.228346456692914
BANGOR INTERNATIONAL ARPT,44.798,-68.819,147.96588400000002,2013-12,27.32,10.579999999999998,18.86,2.929133858267717
STEVEN A BEAN MUNI,44.992,-70.665,1825.1312919999998,2013-12,23.72,7.34,15.620000000000001,3.393700787401575
AUGUSTA STATE AIRPORT,44.316,-69.797,351.04988,2013-12,27.14,14.719999999999999,20.84,2.6338582677165356
WISCASSET AIRPORT,43.964,-69.712,67.913388,2013-12,31.28,13.82,22.64,4.921259842519685
PORTLAND INTERNATIONAL JETPORT AP,43.642,-70.304,44.947508,2013-12,31.46,17.42,24.439999999999998,4.452755905511811
EASTERN SLOPES RGNL ARPT,43.991,-70.948,444.88190399999996,2013-12,30.2,10.759999999999998,20.479999999999997,3.062992125984252
BERLIN MUNICIPAL AIRPORT,44.576,-71.179,1158.13652,2013-12,28.94,11.3,20.12,2.5866141732283467
MT. WASHINGTON OBSERVATORY,44.27,-71.303,6271.981828,2013-12,17.42,0.14000000000000057,8.779999999999998,8.169291338582678
MT WASHINGTON RGNL AIRPORT,44.368,-71.545,1074.147016,2013-12,29.48,12.920000000000002,21.2,2.4606299212598426
ST. JOHNSBURY(AMOS),44.42,-72.019,696.850416,2013-12,29.48,15.620000000000001,22.64,3.28740157480315
MORRISVILLE-STOWE ST ARPT,44.534,-72.614,731.9554039999999,2013-12,28.58,13.459999999999997,21.02,3.015748031496063
PLATTSBURGH INTERNATIONAL AIRPORT,44.65,-73.467,233.923892,2013-12,29.3,13.459999999999997,21.38,2.114173228346457
BURLINGTON INTERNATIONAL AIRPORT,44.468,-73.15,330.052504,2013-12,30.74,16.52,23.72,2.543307086614173
EDWARD F KNAPP STATE ARPT,44.204,-72.562,1125.9842879999999,2013-12,28.94,13.279999999999998,21.02,2.9133858267716537
LEBANON MUNICIPAL AIRPORT,43.626,-72.305,598.097132,2013-12,31.82,16.52,24.259999999999998,2.3267716535433074
HARTNESS ST (SPNGFLD) ARPT,43.344,-72.518,578.0840079999999,2013-12,32.18,16.88,24.439999999999998,1.5078740157480315
SKYHAVEN AIRPORT,43.278,-70.922,323.16274,2013-12,32.9,19.04,25.88,2.5
DURHAM 2 N,43.172,-70.928,119.09449199999999,2013-12,33.08,17.96,25.52,4.1141732283464565
DURHAM 2 SSW,43.109,-70.948,62.992127999999994,2013-12,33.08,17.6,25.34,4.192913385826772
CONCORD MUNICIPAL AIRPORT,43.205,-71.503,343.175864,2013-12,32.36,14.899999999999999,23.72,3.3976377952755907
MANCHESTER AIRPORT,42.93,-71.436,221.12861600000002,2013-12,34.52,20.299999999999997,27.5,1.1574803149606299
JAFFREY MINI-SLVR RNCH APT,42.805,-72.004,1040.02628,2013-12,34.16,17.42,25.88,4.066929133858268
ADIRONDACK REGIONAL ARPT,44.385,-74.207,1663.0577959999998,2013-12,27.68,8.420000000000002,18.14,2.3897637795275593
MASSENA INTL/RCHARDS FD AP,44.936,-74.846,213.91076800000002,2013-12,25.7,10.04,17.78,1.6417322834645671
"CANTON 4 SE, NY US",44.5772,-75.1097,448.162744,2013-12,28.58,10.04,19.22,3.165354330708662
FLOYD BENNETT MEMO AIRPORT,43.338,-73.61,320.866152,2013-12,32.54,15.98,24.259999999999998,2.3858267716535435
GRIFFIS AIRFIELD,43.234,-75.412,519.0288879999999,2013-12,33.8,18.5,26.060000000000002,2.555118110236221
ALBANY INTERNATIONAL AIRPORT,42.747,-73.799,279.85565199999996,2013-12,35.6,19.939999999999998,27.68,3.3858267716535435
WATERTOWN INTL AIRPORT,43.989,-76.026,317.91339600000003,2018-03,,,,2.1496062992125986
OSWEGO COUNTY AIRPORT,43.35,-76.385,475.06563200000005,2013-12,34.16,20.84,27.5,2.1968503937007875
SYRACUSE HANCOCK INTERNATIONAL AP,43.111,-76.104,413.05775600000004,2013-12,35.24,20.66,28.04,2.8897637795275593
ITHACA 13 E,42.44,-76.246,1228.0184120000001,2013-12,34.16,18.14,26.24,3.1181102362204727
GREATER BINGHAMTON/E A LINK FIELD AP,42.207,-75.98,1595.1444079999999,2013-12,,,,
W. H. MORSE STATE AIRPORT,42.891,-73.247,826.1155120000001,2013-12,36.68,19.939999999999998,28.4,2.8818897637795278
HARRIMAN-AND-WEST AIRPORT,42.697,-73.17,640.0918839999999,2018-04,,,,3.9960629921259843
PITTSFIELD MUNICIPAL AP,42.427,-73.289,1193.8976759999998,2013-12,34.7,18.5,26.6,2.7952755905511815
ORANGE MUNICIPAL AIRPORT,42.57,-72.291,555.118128,2013-12,34.88,16.52,25.88,3.2007874015748032
FITCHBURG MUNICIPAL ARP,42.552,-71.756,348.09712399999995,2013-12,36.86,19.759999999999998,28.4,3.460629921259843
"LAWRENCE MUNICIPAL AIRPORT, MA US",42.71722,-71.12389,148.950136,2013-12,37.4,23,30.2,3.0590551181102366
BEVERLY MUNICIPAL AIRPORT,42.584,-70.918,107.939636,2013-12,38.66,22.82,30.74,4.118110236220472
LAURENCE G HANSCOM FLD APT,42.47,-71.289,132.87402,2013-12,36.86,20.66,28.759999999999998,3.921259842519685
GEN E L LOGAN INTERNATIONAL AIRPORT,42.361,-71.01,12.139108,2013-12,40.28,26.42,33.44,4.6299212598425195
EAST MILTON,42.212,-71.114,634.84254,2013-12,38.480000000000004,23.36,30.92,5.271653543307087
NORWOOD MEMORIAL AIRPORT,42.191,-71.174,49.868767999999996,2013-12,40.28,21.92,31.1,3.4881889763779528
WORCESTER REGIONAL AIRPORT,42.271,-71.873,1000.000032,2013-12,34.52,21.02,27.68,4.429133858267717
