Coaster,Park,Top_Speed,Max_Height,City,State,Type,Design,Year_Opened,Age_Group,Drop,Length,Duration,Inversions,Num_of_Inversions
Zippin Pippin,Libertyland,40,70,Memphis,Tennessee,Wooden,Sit Down,1915,1:older,70,2865,90,N,0
Judge Roy Scream,Six Flags Over Texas,53,71,Arlington,Texas,Wooden,Sit Down,1980,2:recent,65,2670,90,N,0
Batman The Ride,Six Flags Fiesta Texas,38,120,San Antonio,Texas,Steel,Wing,2015,3:newest,54,1019,,Y,6
Jack Rabbit,Kennywood Park,45,40,West Mifflin,Pennsylvania,Wooden,Sit Down,1921,1:older,70,2132,96,N,0
Thunderhawk,Dorney Park,45,80,Allentown,Pennsylvania,Wooden,Sit Down,1923,1:older,65,2767,78,N,0
Giant Dipper,Santa Cruz Beach Boardwalk,55,70,Santa Cruz,California,Wooden,Sit Down,1924,1:older,65,2640,112,N,0
Thunderbolt,Kennywood Park,55,70,West Mifflin,Pennsylvania,Wooden,Sit Down,1924,1:older,95,2887,101,N,0
Wildcat,Lake Compounce,48,85,Bristol,Connecticut,Wooden,Sit Down,1927,1:older,78,2746,75,N,0
Coaster Thrill Ride,Puyallup Fair,50,55,Puyallup,Washington,Wooden,Sit Down,1935,1:older,52,2650,105,N,0
Cyclone,Lakeside,,90,Denver,Colorado,Wooden,Sit Down,1940,1:older,89,2800,120,N,0
Comet,Hersheypark,50,84,Hershey,Pennsylvania,Wooden,Sit Down,1946,1:older,78,3360,105,N,0
Comet,Waldameer Park,25,37,Erie,Pennsylvania,Wooden,Sit Down,1951,1:older,25,1300,84,N,0
High Speed Thrill Coaster,Knoebels,40,18,Elysburg,Pennsylvania,Steel,Sit Down,1955,1:older,12,200,,N,0
Bobsleds,Seabreeze,23,31,Rochester,New York,Steel,Sit Down,1962,1:older,16,1240,,N,0
Starliner,Miracle Strip Amusement Park,55,70,Panama City Beach,Florida,Wooden,Sit Down,1963,1:older,76,2640,,N,0
Swamp Fox,Family Kingdom Amusement Park,50,75,Myrtle Beach,South Carolina,Wooden,Sit Down,1963,1:older,65,2400,,N,0
Blue Streak,Cedar Point,40,78,Sandusky,Ohio,Wooden,Sit Down,1964,1:older,72,2558,105,N,0
Cannon Ball,Lake Winnepesaukah,50,70,Rossville,Georgia,Wooden,Sit Down,1967,1:older,70,2272,,N,0
River King Mine Train,Six Flags St. Louis,37,32,Eureka,Missouri,Steel,Sit Down,1971,1:older,41,2500,180,N,0
Big Bend,Six Flags Over Texas,52,81,Arlington,Texas,Steel,Sit Down,1971,1:older,,2876,98,N,0
Great American Scream Machine,Six Flags Over Georgia,57,105,Austell,Georgia,Wooden,Sit Down,1973,1:older,89,3450,120,N,0
Demon,Six Flags Great America,50,102,Gurnee,Illinois,Steel,Sit Down,1976,1:older,90,2130,105,Y,4
Demon,Paramounts Great America,50,102,Santa Clara,California,Steel,Sit Down,1976,1:older,90,2130,105,Y,4
Screamin Eagle,Six Flags St. Louis,62,110,Eureka,Missouri,Wooden,Sit Down,1976,1:older,92,3872,150,N,0
Texas Cyclone,Six Flags AstroWorld,,93,Houston,Texas,Wooden,Sit Down,1976,1:older,80,3180,135,N,0
Whizzer,Six Flags Great America,42,70,Gurnee,Illinois,Steel,Sit Down,1976,1:older,64,3100,120,N,0
Colossus,Six Flags Magic Mountain,62,125,Valencia,California,Wooden,Sit Down,1978,1:older,115,4325,150,N,0
Gemini,Cedar Point,60,125,Sandusky,Ohio,Steel,Sit Down,1978,1:older,118,3935,140,N,0
Loch Ness Monster,Busch Gardens Williamsburg,60,130,Williamsburg,Virginia,Steel,Sit Down,1978,1:older,114,3240,130,Y,2
Montezooma's Revenge,Knotts Berry Farm,55,148,Buena Park,California,Steel,Sit Down,1978,1:older,137,800,36,Y,1
Beast,Paramounts Kings Island,65,110,Kings Mills,Ohio,Wooden,Sit Down,1979,1:older,141,7359,250,N,0
Revolution,Libertyland,55,70,Memphis,Tennessee,Steel,Sit Down,1979,1:older,65,1565,80,Y,3
Silver Bullet,Frontier City,55,83,Oklahoma City,Oklahoma,Steel,Sit Down,1979,1:older,75,1942,,Y,1
American Eagle,Six Flags Great America,66,127,Gurnee,Illinois,Wooden,Sit Down,1981,2:recent,147,4650,143,N,0
Viper,Six Flags Darien Lake,50,121,Darien Center,New York,Steel,Sit Down,1982,2:recent,75,3100,124,Y,5
Big Bad Wolf,Busch Gardens Williamsburg,48,100,Williamsburg,Virginia,Steel,Suspended,1984,2:recent,80,2800,180,N,0
Phoenix,Knoebels,45,78,Elysburg,Pennsylvania,Wooden,Sit Down,1985,2:recent,72,3200,120,N,0
Wild One,Six Flags America,53,98,Upper Marlboro,Maryland,Wooden,Sit Down,1986,2:recent,88,4000,112,N,0
Skyliner,Lakemont Park,,60,Altoona,Pennsylvania,Wooden,Sit Down,1987,2:recent,45,2400,,N,0
Vortex,Paramounts Kings Island,55,148,Kings Mills,Ohio,Steel,Sit Down,1987,2:recent,138,3800,150,Y,6
Excalibur,Valleyfair!,55,100,Shakopee,Minnesota,Steel,Sit Down,1989,2:recent,105,2415,137,N,0
Great American Scream Machine,Six Flags Great Adventure,68,173,Jackson,New Jersey,Steel,Sit Down,1989,2:recent,155,3800,140,Y,7
Magnum XL-200,Cedar Point,72,205,Sandusky,Ohio,Steel,Sit Down,1989,2:recent,195,5106,120,N,0
Timber Wolf,Worlds of Fun,53,100,Kansas City,Missouri,Wooden,Sit Down,1989,2:recent,95,4230,133,N,0
Corkscrew,Silverwood Theme Park,46,70,Athol,Idaho,Steel,Sit Down,1990,2:recent,62,1250,,Y,2
Georgia Cyclone,Six Flags Over Georgia,50,95,Austell,Georgia,Wooden,Sit Down,1990,2:recent,79,2970,108,N,0
Iron Wolf,Six Flags Great America,55,100,Gurnee,Illinois,Steel,Stand Up,1990,2:recent,90,2900,120,Y,2
Texas Giant,Six Flags Over Texas,65,143,Arlington,Texas,Wooden,Sit Down,1990,2:recent,137,4920,120,N,0
Ultra Twister,Six Flags AstroWorld,44,97,Houston,Texas,Steel,Pipeline,1990,2:recent,92,1421,100,Y,3
Viper,Six Flags Magic Mountain,70,188,Valencia,California,Steel,Sit Down,1990,2:recent,171,3830,150,Y,7
Afterburner,Fun Spot,45,56,Angola,Indiana,Steel,Sit Down,1991,2:recent,47,635,66,Y,1
Anaconda,Paramounts Kings Dominion,50,128,Doswell,Virginia,Steel,Sit Down,1991,2:recent,144,2700,110,Y,4
Dragon,Adventureland,,90,Altoona,Iowa,Steel,Sit Down,1991,2:recent,85,2250,90,Y,2
Mean Streak,Cedar Point,65,161,Sandusky,Ohio,Wooden,Sit Down,1991,2:recent,155,5427,193,N,0
Wildcat,Frontier City,60,75,Oklahoma City,Oklahoma,Wooden,Sit Down,1991,2:recent,65,2653,130,N,0
Rattler,Six Flags Fiesta Texas,65,180,San Antonio,Texas,Wooden,Sit Down,1992,2:recent,124,5080,,N,0
Batman The Escape,Six Flags AstroWorld,55,90,Houston,Texas,Steel,Stand Up,1993,2:recent,85,2300,,Y,1
Canyon Blaster,Adventuredome,41,94,Las Vegas,Nevada,Steel,Sit Down,1993,2:recent,66,2423,90,Y,4
Diamond Back,Frontier City,45,56,Oklahoma City,Oklahoma,Steel,Sit Down,1993,2:recent,47,635,66,Y,1
Kumba,Busch Gardens Tampa,60,143,Tampa,Florida,Steel,Sit Down,1993,2:recent,135,3978,174,Y,7
Top Gun,Paramounts Great America,50,102,Santa Clara,California,Steel,Inverted,1993,2:recent,91,2260,146,Y,3
Whirlwind,Knoebels,,64,Elysburg,Pennsylvania,Steel,Sit Down,1993,2:recent,48,1200,,Y,2
Comet,Great Escape,55,95,Lake George,New York,Wooden,Sit Down,1994,2:recent,87,4197,120,N,0
Desperado,Buffalo Bills Resort & Casino,80,209,Primm,Nevada,Steel,Sit Down,1994,2:recent,225,5843,163,N,0
Raptor,Cedar Point,57,137,Sandusky,Ohio,Steel,Inverted,1994,2:recent,119,3790,136,Y,6
Cyclops,Big Chief Carts And Coasters,58,70,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1995,2:recent,75,1900,60,N,0
Great NorEaster,Moreys Piers,55,115,Wildwood,New Jersey,Steel,Inverted,1995,2:recent,95,2170,125,Y,5
Jaguar!,Knotts Berry Farm,35,65,Buena Park,California,Steel,Sit Down,1995,2:recent,45,2602,120,N,0
Raven,Holiday World,48,80,Santa Claus,Indiana,Wooden,Sit Down,1995,2:recent,110,2731,90,N,0
Screamer,Scandia Amusement Park,50,90,Ontario,California,Steel,Sit Down,1995,2:recent,80,2600,116,N,0
Sidewinder,Six Flags Elitch Gardens,45,56,Denver,Colorado,Steel,Sit Down,1995,2:recent,47,635,66,Y,1
Viper,Six Flags Great America,50,100,Gurnee,Illinois,Wooden,Sit Down,1995,2:recent,80,3458,105,N,0
Great White,Moreys Piers,50,110,Wildwood,New Jersey,Wooden,Sit Down,1996,2:recent,100,3300,120,N,0
Mantis,Cedar Point,60,145,Sandusky,Ohio,Steel,Stand Up,1996,2:recent,137,3900,160,Y,4
Montu,Busch Gardens Tampa,60,150,Tampa,Florida,Steel,Inverted,1996,2:recent,128,3983,180,Y,7
Pegasus,Big Chief Carts And Coasters,,60,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1996,2:recent,45,,,N,0
Wild Thing,Valleyfair!,74,207,Shakopee,Minnesota,Steel,Sit Down,1996,2:recent,196,5460,180,N,0
Wildcat,Hersheypark,50,90,Hershey,Pennsylvania,Wooden,Sit Down,1996,2:recent,85,3183,,N,0
Alpengeist,Busch Gardens Williamsburg,67,195,Williamsburg,Virginia,Steel,Inverted,1997,2:recent,170,3828,190,,
Chang,Six Flags Kentucky Kingdom,63,154,Louisville,Kentucky,Steel,Stand Up,1997,2:recent,144,4155,150,Y,5
Cyclone,Williams Grove Park,,65,Mechanicsburg,Pennsylvania,Wooden,Sit Down,1997,2:recent,60,2300,,N,0
Great White,SeaWorld Of Texas,50,108,San Antonio,Texas,Steel,Inverted,1997,2:recent,81,2562,120,Y,5
Manhattan Express,"New York, New York Hotel & Casino",67,203,Las Vegas,Nevada,Steel,Sit Down,1997,2:recent,144,4777,160,Y,2
Steel Force,Dorney Park,75,200,Allentown,Pennsylvania,Steel,Sit Down,1997,2:recent,205,5600,180,N,0
Superman The Escape,Six Flags Magic Mountain,100,415,Valencia,California,Steel,Sit Down,1997,2:recent,328,1235,28,N,0
Wild Thing,Wild Waves and Enchanted Village,,,Federal Way,Washington,Steel,Sit Down,1997,2:recent,64,,60,Y,3
Zeus,Big Chief Carts And Coasters,60,90,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1997,2:recent,85,2900,85,N,0
Batman And Robin; The Chiller,Six Flags Great Adventure,70,200,Jackson,New Jersey,Steel,Sit Down,1998,2:recent,139,1137,32,Y,2
Batman And Robin; The Chiller,Six Flags Great Adventure,70,200,Jackson,New Jersey,Steel,Sit Down,1998,2:recent,105,1229,48,Y,3
Excalibur,Funtown Splashtown U.S.A.,55,100,Saco,Maine,Wooden,Sit Down,1998,2:recent,82,2700,118,N,0
GhostRider,Knotts Berry Farm,56,118,Buena Park,California,Wooden,Sit Down,1998,2:recent,108,4533,160,N,0
Great Bear,Hersheypark,58,90,Hershey,Pennsylvania,Steel,Inverted,1998,2:recent,124,2800,175,Y,4
Invertigo,Paramounts Great America,50,161,Santa Clara,California,Steel,Inverted,1998,2:recent,138,1014,90,Y,3
Mamba,Worlds of Fun,75,205,Kansas City,Missouri,Steel,Sit Down,1998,2:recent,205,5600,180,N,0
Riddlers Revenge,Six Flags Magic Mountain,65,156,Valencia,California,Steel,Stand Up,1998,2:recent,146,4370,180,Y,6
Vapor Trail,Sesame Place,27,43,Langhorne,Pennsylvania,Steel,Sit Down,1998,2:recent,56,1300,180,N,0
"Volcano, The Blast Coaster",Paramounts Kings Dominion,70,155,Doswell,Virginia,Steel,Inverted,1998,2:recent,80,2757,,Y,4
Apollos Chariot,Busch Gardens Williamsburg,73,170,Williamsburg,Virginia,Steel,Sit Down,1999,2:recent,210,4882,135,N,0
Dueling Dragons,Universal Studios Islands of Adventure,60,125,Orlando,Florida,Steel,Inverted,1999,2:recent,115,3200,145,Y,5
Dueling Dragons,Universal Studios Islands of Adventure,55,125,Orlando,Florida,Steel,Inverted,1999,2:recent,95,3200,145,Y,5
Face/Off,Paramounts Kings Island,50,161,Kings Mills,Ohio,Steel,Inverted,1999,2:recent,138,1014,90,Y,3
Georgia Scorcher,Six Flags Over Georgia,54,107,Austell,Georgia,Steel,Stand Up,1999,2:recent,101,3000,84,Y,2
Incredible Hulk,Universal Studios Islands of Adventure,67,110,Orlando,Florida,Steel,Sit Down,1999,2:recent,105,3700,135,Y,7
Leap The Dips,Lakemont Park,,41,Altoona,Pennsylvania,Wooden,Sit Down,1999,2:recent,9,1452,60,N,0
Medusa,Six Flags Great Adventure,61,142,Jackson,New Jersey,Steel,Sit Down,1999,2:recent,132,3985,140,Y,7
Raging Bull,Six Flags Great America,73,202,Gurnee,Illinois,Steel,Sit Down,1999,2:recent,208,5057,150,N,0
Silver Comet,Martins Fantasy Island,50,,Grand Island,New York,Wooden,Sit Down,1999,2:recent,82,2800,105,N,0
Steel Eel,SeaWorld Of Texas,65,150,San Antonio,Texas,Steel,Sit Down,1999,2:recent,150,3700,100,N,0
Superman - Ride Of Steel,Six Flags Darien Lake,73,208,Darien Center,New York,Steel,Sit Down,1999,2:recent,205,5400,122,N,0
Tennessee Tornado,Dollywood,63,163,Pigeon Forge,Tennessee,Steel,Sit Down,1999,2:recent,128,2682,108,Y,3
Tremors,Silverwood Theme Park,60,100,Athol,Idaho,Wooden,Sit Down,1999,2:recent,103,3000,100,N,0
Twister,Knoebels,52,102,Elysburg,Pennsylvania,Wooden,Sit Down,1999,2:recent,90,3900,130,N,0
Two-Face: The Flip Side,Six Flags America,50,161,Upper Marlboro,Maryland,Steel,Inverted,1999,2:recent,138,1014,90,Y,3
Joker's Jinx,Six Flags America,60,79,Upper Marlboro,Maryland,Steel,Sit Down,1999,2:recent,,2750,56,Y,4
Arkansas Twister,Magic Springs and Crystal Falls,,95,Hot Springs,Arkansas,Wooden,Sit Down,2000,3:newest,92,3340,,N,0
Batman Knight Flight,Six Flags Worlds of Adventure,65,157,Aurora,Ohio,Steel,Sit Down,2000,3:newest,148,4210,,Y,5
Boss,Six Flags St. Louis,66,122,Eureka,Missouri,Wooden,Sit Down,2000,3:newest,150,5051,,N,0
Boulder Dash,Lake Compounce,60,,Bristol,Connecticut,Wooden,Sit Down,2000,3:newest,115,4725,150,N,0
Goliath,Six Flags Magic Mountain,85,235,Valencia,California,Steel,Sit Down,2000,3:newest,255,4500,180,N,0
Hurricane,Myrtle Beach Pavilion,55,102,Myrtle Beach,South Carolina,Wooden,Sit Down,2000,3:newest,100,3800,120,N,0
Kraken,SeaWorld Orlando,65,149,Orlando,Florida,Steel,Sit Down,2000,3:newest,144,4177,122,Y,7
Medusa,Six Flags Marine World,65,150,Vallejo,California,Steel,Sit Down,2000,3:newest,150,3937,195,Y,7
Millennium Force,Cedar Point,93,310,Sandusky,Ohio,Steel,Sit Down,2000,3:newest,300,6595,140,N,0
Son Of Beast,Paramounts Kings Island,78,218,Kings Mills,Ohio,Wooden,Sit Down,2000,3:newest,214,7032,140,Y,1
Superman - Ride Of Steel,Six Flags New England,77,208,Agawam,Massachusetts,Steel,Sit Down,2000,3:newest,221,5400,155,N,0
Superman - Ride Of Steel,Six Flags America,73,200,Upper Marlboro,Maryland,Steel,Sit Down,2000,3:newest,190,5350,130,N,0
California Screamin,Disneys California Adventure,55,,Anaheim,California,Steel,Sit Down,2001,3:newest,108,6072,156,Y,1
Cheetah,Wild Adventures,52,92,Valdosta,Georgia,Wooden,Sit Down,2001,3:newest,90,2680,,N,0
Deja Vu,Six Flags Great America,66,192,Gurnee,Illinois,Steel,Inverted,2001,3:newest,177,1204,92,Y,3
Deja Vu,Six Flags Over Georgia,66,192,Austell,Georgia,Steel,Inverted,2001,3:newest,177,1204,92,Y,3
HyperSonic XLC,Paramounts Kings Dominion,80,165,Doswell,Virginia,Steel,Sit Down,2001,3:newest,133,1560,,N,0
Nitro,Six Flags Great Adventure,80,230,Jackson,New Jersey,Steel,Sit Down,2001,3:newest,215,5394,140,N,0
Phantoms Revenge,Kennywood Park,82,160,West Mifflin,Pennsylvania,Steel,Sit Down,2001,3:newest,228,3200,117,N,0
Talon,Dorney Park,58,135,Allentown,Pennsylvania,Steel,Inverted,2001,3:newest,120,3110,,Y,4
Titan,Six Flags Over Texas,85,245,Arlington,Texas,Steel,Sit Down,2001,3:newest,255,5312,210,N,0
Wildfire,Silver Dollar City,66,120,Branson,Missouri,Steel,Sit Down,2001,3:newest,155,3073,136,Y,5
Big Bad John,Magic Springs and Crystal Falls,37,32,Hot Springs,Arkansas,Steel,Sit Down,2002,3:newest,41,2349,180,N,0
New Mexico Rattler,Cliffs Amusement Park,47,80,Albuquerque,New Mexico,Wooden,Sit Down,2002,3:newest,75,2750,75,N,0
Ricochet,Paramounts Kings Dominion,35,52,Doswell,Virginia,Steel,Sit Down,2002,3:newest,50,1340,180,N,0
Superman - Ultimate Flight,Six Flags Over Georgia,,115,Austell,Georgia,Steel,Flying,2002,3:newest,100,2760,120,Y,2
